      # File         Hex       Zrank         RMS    IS-Score      IS-RMS     IS-iRMS
      16_18_0001.pdb  -313.20001   -43.95420     7.86000     0.36570     2.29000     1.92000
      16_18_0002.pdb  -293.14999   -38.39370    22.68000     0.15980     9.87100     0.58000
      16_18_0003.pdb  -292.70999   -10.99660     9.60000     0.11550     4.50600     1.37000
      16_18_0004.pdb  -283.12000   -43.32720     5.74000     0.34970     1.78000     1.78000
      16_18_0005.pdb  -267.98001   -37.58160    21.15000     0.07800     9.20500     0.98000
      16_18_0006.pdb  -265.97000   -21.29450     6.90000     0.33470     2.54500     1.86000
      16_18_0007.pdb  -262.06000    26.80270    13.61000     0.19540     5.92700     1.67000
      16_18_0008.pdb  -256.03000   -69.26500     0.92000     0.63940     0.80000     0.80000
      16_18_0009.pdb  -255.63000   -32.54420     8.97000     0.18060     4.52000     1.23000
      16_18_0010.pdb  -254.77000    -4.77091     8.27000     0.11540     4.72900     0.86000
      16_18_0011.pdb  -254.32001   -15.38330     8.07000     0.10680     4.85400     1.51000
      16_18_0012.pdb  -248.85001   -12.16260    14.56000     0.17960     5.17400     1.35000
      16_18_0013.pdb  -247.96001   -28.37930     7.80000     0.16210     4.61700     0.53000
      16_18_0014.pdb  -242.11000   -24.78780    10.74000     0.15910     5.19200     0.53000
      16_18_0015.pdb  -239.53000     5.67815     8.22000     0.12660     4.78800     0.53000
      16_18_0016.pdb  -239.42999   -35.81170    12.16000     0.12350     5.31400     1.11000
      16_18_0017.pdb  -238.34000   -34.62570    13.81000     0.13820     5.92700     0.86000
      16_18_0018.pdb  -237.05000   -27.63140     5.61000     0.26180     2.04000     2.04000
      16_18_0019.pdb  -235.63000   -27.83880    10.46000     0.15470     5.19000     1.20000
      16_18_0020.pdb  -232.96001   -30.13410    15.51000     0.13270     6.20400     1.31000
      16_18_0021.pdb  -227.22000   -11.10180    16.59000     0.14480     7.03000     1.48000
      16_18_0022.pdb  -226.53000   -24.99210    11.93000     0.17080     5.10600     1.25000
      16_18_0023.pdb  -226.16000    -1.81825    19.20000     0.15050     8.21300     1.35000
      16_18_0024.pdb  -225.95000    -8.81027     8.60000     0.21570     3.86900     1.72000
      16_18_0025.pdb  -224.22000   -27.83350    12.65000     0.16530     6.33400     1.33000
      16_18_0026.pdb  -223.64999   -21.39120    22.27000     0.07640     9.58800     1.34000
      16_18_0027.pdb  -221.98000   -39.36060    17.05000     0.14140     7.48700     0.92000
      16_18_0028.pdb  -221.28000   -15.57900    17.44000     0.11330     7.91600     1.45000
      16_18_0029.pdb  -220.46001    24.37470    15.81000     0.14250     7.54700     0.95000
      16_18_0030.pdb  -219.32001     9.00174    16.33000     0.14520     6.00200     1.51000
      16_18_0031.pdb  -219.09000   -16.49030    18.80000     0.12290     7.84300     1.36000
      16_18_0032.pdb  -218.44000   -19.38530    16.62000     0.11680     7.17000     1.44000
      16_18_0033.pdb  -218.31000   -23.88220     7.06000     0.22590     3.24500     1.59000
      16_18_0034.pdb  -217.10001   -10.98440    12.59000     0.07930     5.99200     0.86000
      16_18_0035.pdb  -216.86000    24.22630     7.08000     0.14180     4.26100     1.04000
      16_18_0036.pdb  -216.42000   -26.03530    22.51000     0.15470     9.64200     0.84000
      16_18_0037.pdb  -216.22000    -6.57584     8.32000     0.08250     4.72800     0.86000
      16_18_0038.pdb  -214.58000   -19.53130    13.96000     0.11140     5.89600     0.86000
      16_18_0039.pdb  -212.56000   -16.46730     6.69000     0.16940     2.72200     0.86000
      16_18_0040.pdb  -211.00999    17.68150    10.20000     0.13420     4.86600     0.53000
      16_18_0041.pdb  -209.67000     2.72172    14.39000     0.11880     6.18600     1.34000
      16_18_0042.pdb  -208.20000    30.82380     9.79000     0.21330     3.54600     0.53000
      16_18_0043.pdb  -208.13000   -53.23360    22.61000     0.11670     9.88300     1.03000
      16_18_0044.pdb  -208.00000   -21.21830    11.41000     0.16910     5.07300     0.53000
      16_18_0045.pdb  -206.61000   -15.21950    20.97000     0.14430     9.19200     1.02000
      16_18_0046.pdb  -206.33000   -35.76550    17.07000     0.10740     6.44500     0.86000
      16_18_0047.pdb  -204.75999     9.97106    12.76000     0.13900     6.22000     1.20000
      16_18_0048.pdb  -204.10001   -19.96430    11.87000     0.13550     5.05200     0.73000
